time    flux    error
100 45.68167367 0.9840524834
 200 53.67800758    0.9357657203
 300 63.81806958 0.982122072
 400    59.09039118 0.9425231245
 500 53.50623821    0.8955242814
 600 57.05786183 0.9276976322
 700    51.69516039 0.8814123958
 800 48.20495241    0.8523790313
 900 40.98338452 0.8451815853
 1000    33.04796584 0.7057021165
 1100 33.82872939    0.7128604801
 1200 28.7664591 0.6598226135
 1300    25.13436196 0.614882535
 1400 23.1758704    0.5898556869
 1500 21.59943914 1.893746954
 1600    24.04434143 1.276796935
 1700 26.48924372    0.6598469165
 1800 27.25408603 0.6414347173
 1900    25.35485223 0.6181049048
 2000 23.05401207    0.5887709314
 2100 21.45534823 0.5669234617
 2200    21.64715789 0.5703497631
 2300 23.55412684    0.5960823828
 2400 25.03150804 0.6159127347
 2500    22.2992643 0.5795729559
 2600 20.23766954    0.5527189112
 2700 20.72133158 0.5599595408
 2800    21.95803731 0.5759990634
 2900 25.39927477    0.6180858401
 3000 32.87937896 0.7033541895
 3100    30.97611764 0.6828075039
 3200 31.4777915    0.6891480306
 3300 30.58912345 0.6752599623
 3400    30.57965646 0.6774255389
 3500 29.68047328    0.6695650016
 3600 36.17314205 0.7367924826
 3700    34.77841678 0.7989801674
 3800 35.5996346    0.7312131046
 3900 35.21096739 0.7281108396
 4000    31.77542229 0.69276391
 4100 33.03128071    0.7061101554
 4200 36.03605007 0.7342279096
 4300    30.99270104 0.6835165529
 4400 30.61403832    0.6789810492
 4500 34.68143059 0.7223150853
 4600    32.98677972 0.7053519283
 4700 35.25834799    0.7309886897
 4800 32.64341487 0.7006664226
 4900    33.69443856 0.7126609942
 5000 30.7882583    0.6804054837
 5100 26.33626875 0.6308122438
 5200    26.95143969 0.6378889949
 5300 30.56827285    0.678287764
 5400 32.99397739 0.7065033271
 5500    33.65480899 0.7106316612
 5600 32.82261921    0.7022780172
 5700 37.88082451 0.7538940874
 5800    41.22516013 0.7886587318
 5900 43.0201088    0.805644697
 6000 42.2255195 0.7968892691
 6100    44.58669912 0.8192100449
 6200 38.08965029    0.7574812829
 6300 35.18414907 0.7289179011
 6400    38.53573828 0.7619680902
 6500 51.48383193    0.8817863524
 6600 60.11624941 0.9511881189
 6700    54.37306272 0.9051031752
 6800 50.84811463    0.875143465
 6900 47.90032539 0.8495757673
 7000    49.50320472 0.8634166945
 7100 47.63929112    0.845582145
 7200 47.5400089 0.8465609016
 7300    52.16556999 0.8874183533
 7400 46.82323338    0.8405787883
 7500 43.76335478 0.8116165982
 7600    49.42878909 0.8612991175
 7700 45.22494311    0.8251395082
 7800 40.07611957 0.9483791156
 7900    45.42481912 0.8277922957
 8000 62.37016441    0.9704459721
 8100 60.11077075 0.9516677229
 8200    56.7353254 0.9241746344
 8300 55.27504969    0.9138715861
 8400 58.50936254 0.9380324714
 8500    61.11597133 0.9601212966
 8600 62.0353101    0.9645074213
 8700 71.57670221 1.039081689
 8800    63.13923038 0.9743764057
 8900 55.87335185    0.9199710531
 9000 55.49458403 0.9138407438
 9100    60.88248902 0.9570500089
 9200 57.39131607    0.9287822674
 9300 53.88051226 0.9008355515
 9400    46.25402359 0.8340050931
 9500 47.06630191    0.8427469157
 9600 48.17543712 0.8520326956
 9700    51.87496571 0.8840927823
 9800 49.10950485    0.8593958576
 9900 51.55548874 0.881033846
 10000    48.31003795 0.8533743162
 10100 47.03368124    0.841567162
 10200 51.26795882 0.8778843629
 10300    53.0492058 0.8931571473
 10400 60.15558595    0.9535014662
 10500 54.78480859 0.9081066134
 10600    51.13788276 0.8800594818
 10700 51.68468998    0.883982825
 10800 45.84330753 0.8326348908
 10900    43.32149588 0.8081912087
 11000 39.87002313    0.7727681389
 11100 32.92918063 0.7064674766
 11200    28.8274141 0.6584936506
 11300 31.84590092    0.6943604587
 11400 32.27759847 0.6978660867
 11500    34.90905945 0.7250437407
 11600 37.59567929    0.7504859615
 11700 39.30391586 0.7906995639
 11800    41.41125882 0.791835674
 11900 45.29369373    0.8257103614
 12000 44.03328784 0.8146721663
 12100    44.79375844 0.8202643571
 12200 43.99554409    0.8156936597
 12300 44.57592268 0.8194368107
 12400    41.83210573 0.7936901734
 12500 36.60416161    0.743303272
 12600 32.29765911 0.7007067172
 12700    30.63884902 0.6790490948
 12800 35.04976836    0.7272276888
 12900 40.74551837 0.7835469237
 13000    37.63957135 0.7529314532
 13100 39.72641703    0.7726721182
 13200 39.11034403 0.7673439983
 13300    42.14206549 0.7962811193
 13400 37.69549513    0.7528097867
 13500 30.2227972 0.6746848645
 13600    27.50835821 0.645622254
 13700 29.19471218    0.6632833407
 13800 33.44853265 0.7103558698
 13900    32.37030379 0.698776013
 14000 37.02388476    0.7939442353
 14100 46.44223085 0.8361771688
 14200    50.14519399 0.868283967
 14300 46.94793986    0.8414623905
 14400 47.41706027 0.8469484003
 14500    44.59860838 0.8198061463
 14600 46.31941709    0.8341865133
 14700 45.7372886 0.8314103228
 14800    45.24352072 0.8262010405
 14900 44.35822837    0.8176838281
 15000 47.64877934 0.8458412208
 15100    53.55525577 0.8999354329
 15200 49.76963049    0.866486047
 15300 50.50150969 0.8712260966
 15400    52.91424456 0.8917799095
 15500 57.2501246    0.9285343373
 15600 45.60561925 0.8289723246
 15700    40.47875597 0.7809596702
 15800 38.28028935    0.7587929129
 15900 34.59819431 0.7214823907
 16000    40.26311131 0.7792016068
 16100 44.63432704    0.8187774358
 16200 45.1531274 0.8252086661
 16300    44.2909146 0.8175593597
 16400 37.3802221    0.7507312689
 16500 34.9737501 0.7241845521
 16600    33.89325851 0.7128377775
 16700 35.45608691    0.7318356
 16800 38.5174482 0.762140297
 16900    50.56393116 0.8727448021
 17000 50.19628026    0.8713383063
 17100 50.62471674 0.8737495826
 17200    50.52394748 0.8716136853
 17300 52.84794761    0.8903263514
 17400 48.40089306 0.8526786828
 17500    41.6096635 0.8180146651
 17600 41.74227932    0.7945567112
 17700 37.06555024 0.7485633274
 17800    31.67664011 0.6903092786
 17900 32.6749818    0.7004942275
 18000 27.06176531 0.6389071411
 18100    21.54756949 0.5696237999
 18200 20.79742435    0.5601326325
 18300 21.40363622 0.5688217805
 18400    23.86902619 0.5996704664
 18500 29.63416533    0.6669825613
 18600 35.97963594 0.7388918939
 18700    35.71230842 0.7351192082
 18800 31.44827559    0.6876710374
